المحافظة,القطاع,رأس_المال_المطلوب_بالألف,مؤشر_المخاطرة,القرار_الاستثماري
طرطوس,صناعة هندسية,194.5,0.37,مخاطرة عالية
حمص,خدمات تقنية,4.8,0.38,مخاطرة عالية
درعا,خدمات تقنية,11.5,0.63,استثمار متوسط
حمص,تجارة إلكترونية,29.5,0.32,فرصة واعدة
دمشق,صناعة هندسية,916.4,0.57,فرصة واعدة
ريف دمشق,صناعة هندسية,621.4,0.3,فرصة واعدة
حماة,طاقة متجددة,177.5,0.5,مخاطرة عالية
درعا,تصنيع غذائي,119.8,0.13,فرصة واعدة
دير الزور,تجارة إلكترونية,39.4,0.39,فرصة واعدة
حماة,خدمات تقنية,28.5,0.48,فرصة واعدة
القنيطرة,صناعة هندسية,446.4,0.65,استثمار متوسط
دير الزور,زراعة حديثة,29.2,0.49,مخاطرة عالية
دمشق,خدمات تقنية,5.9,0.5,مخاطرة عالية
إدلب,طاقة متجددة,486.6,0.25,فرصة واعدة
الرقة,تصنيع غذائي,224.0,0.67,فرصة واعدة
حلب,طاقة متجددة,269.9,0.51,استثمار متوسط
حماة,تجارة إلكترونية,38.5,0.51,فرصة واعدة
دير الزور,تجارة إلكترونية,40.4,0.46,فرصة واعدة
دير الزور,تصنيع غذائي,230.8,0.53,فرصة واعدة
حمص,زراعة حديثة,118.9,0.64,فرصة واعدة
حلب,تجارة إلكترونية,20.6,0.19,فرصة واعدة
درعا,زراعة حديثة,47.1,0.61,استثمار متوسط
دمشق,خدمات تقنية,24.5,0.31,فرصة واعدة
حلب,تجارة إلكترونية,38.2,0.5,فرصة واعدة
السويداء,طاقة متجددة,408.4,0.57,فرصة واعدة
دمشق,زراعة حديثة,133.9,0.57,فرصة واعدة
طرطوس,زراعة حديثة,90.2,0.31,فرصة واعدة
اللاذقية,تجارة إلكترونية,11.6,0.45,مخاطرة عالية
دمشق,طاقة متجددة,294.7,0.57,استثمار متوسط
إدلب,صناعة هندسية,764.9,0.33,فرصة واعدة
اللاذقية,تجارة إلكترونية,25.0,0.12,فرصة واعدة
الحسكة,صناعة هندسية,1132.9,0.62,فرصة واعدة
الحسكة,صناعة هندسية,277.4,0.55,مخاطرة عالية
درعا,خدمات تقنية,15.6,0.64,فرصة واعدة
طرطوس,تجارة إلكترونية,24.8,0.26,فرصة واعدة
حمص,خدمات تقنية,7.3,0.13,استثمار متوسط
ريف دمشق,تجارة إلكترونية,35.8,0.64,فرصة واعدة
درعا,خدمات تقنية,14.9,0.24,فرصة واعدة
ريف دمشق,زراعة حديثة,126.4,0.12,فرصة واعدة
ريف دمشق,تجارة إلكترونية,34.2,0.49,فرصة واعدة
دير الزور,طاقة متجددة,196.9,0.6,مخاطرة عالية
السويداء,تجارة إلكترونية,36.2,0.12,فرصة واعدة
القنيطرة,تجارة إلكترونية,39.1,0.38,فرصة واعدة
حماة,صناعة هندسية,661.1,0.48,فرصة واعدة
الحسكة,خدمات تقنية,6.8,0.46,استثمار متوسط
القنيطرة,طاقة متجددة,304.1,0.68,فرصة واعدة
طرطوس,صناعة هندسية,966.9,0.34,فرصة واعدة
دير الزور,خدمات تقنية,6.3,0.32,استثمار متوسط
إدلب,تصنيع غذائي,76.8,0.36,مخاطرة عالية
السويداء,تجارة إلكترونية,35.7,0.32,فرصة واعدة
حماة,تجارة إلكترونية,16.9,0.47,استثمار متوسط
دير الزور,زراعة حديثة,27.0,0.42,مخاطرة عالية
طرطوس,زراعة حديثة,64.2,0.52,استثمار متوسط
الرقة,زراعة حديثة,140.6,0.58,فرصة واعدة
القنيطرة,خدمات تقنية,10.2,0.23,استثمار متوسط
حماة,تصنيع غذائي,87.8,0.41,استثمار متوسط
اللاذقية,تجارة إلكترونية,6.8,0.15,استثمار متوسط
حماة,تصنيع غذائي,201.2,0.3,فرصة واعدة
دير الزور,خدمات تقنية,9.1,0.66,استثمار متوسط
دير الزور,طاقة متجددة,189.0,0.33,استثمار متوسط
درعا,زراعة حديثة,113.3,0.25,فرصة واعدة
اللاذقية,تصنيع غذائي,147.1,0.7,استثمار متوسط
ريف دمشق,زراعة حديثة,104.0,0.25,فرصة واعدة
السويداء,زراعة حديثة,55.3,0.4,استثمار متوسط
حمص,خدمات تقنية,22.0,0.33,فرصة واعدة
الرقة,صناعة هندسية,310.1,0.56,مخاطرة عالية
حماة,زراعة حديثة,134.5,0.49,فرصة واعدة
السويداء,خدمات تقنية,10.6,0.68,مخاطرة عالية
حلب,تصنيع غذائي,143.8,0.27,فرصة واعدة
حلب,طاقة متجددة,205.4,0.59,مخاطرة عالية
درعا,طاقة متجددة,159.2,0.21,استثمار متوسط
حمص,خدمات تقنية,21.6,0.34,فرصة واعدة
ريف دمشق,خدمات تقنية,7.3,0.63,مخاطرة عالية
الحسكة,زراعة حديثة,107.2,0.57,فرصة واعدة
حماة,تجارة إلكترونية,19.2,0.15,فرصة واعدة
إدلب,زراعة حديثة,87.3,0.66,فرصة واعدة
حلب,تصنيع غذائي,183.5,0.26,فرصة واعدة
طرطوس,طاقة متجددة,465.6,0.17,فرصة واعدة
اللاذقية,زراعة حديثة,76.0,0.39,فرصة واعدة
ريف دمشق,طاقة متجددة,134.5,0.31,استثمار متوسط
اللاذقية,خدمات تقنية,10.5,0.55,استثمار متوسط
السويداء,تجارة إلكترونية,38.4,0.51,فرصة واعدة
دمشق,تصنيع غذائي,44.4,0.48,مخاطرة عالية
دمشق,طاقة متجددة,234.2,0.49,استثمار متوسط
إدلب,تجارة إلكترونية,33.9,0.16,فرصة واعدة
دير الزور,خدمات تقنية,20.6,0.26,فرصة واعدة
السويداء,تصنيع غذائي,108.1,0.61,استثمار متوسط
الحسكة,طاقة متجددة,237.3,0.47,استثمار متوسط
الحسكة,زراعة حديثة,42.9,0.44,استثمار متوسط
طرطوس,صناعة هندسية,1155.7,0.16,فرصة واعدة
السويداء,تصنيع غذائي,132.7,0.69,استثمار متوسط
القنيطرة,تجارة إلكترونية,29.8,0.52,فرصة واعدة
حماة,طاقة متجددة,502.3,0.46,فرصة واعدة
ريف دمشق,طاقة متجددة,220.1,0.62,استثمار متوسط
إدلب,طاقة متجددة,354.1,0.3,فرصة واعدة
الحسكة,تصنيع غذائي,268.4,0.53,فرصة واعدة
الحسكة,طاقة متجددة,224.6,0.3,فرصة واعدة
حلب,زراعة حديثة,60.0,0.48,مخاطرة عالية
الرقة,صناعة هندسية,1120.7,0.2,فرصة واعدة
درعا,طاقة متجددة,312.8,0.22,فرصة واعدة
الحسكة,طاقة متجددة,372.3,0.28,فرصة واعدة
الحسكة,طاقة متجددة,263.5,0.19,فرصة واعدة
اللاذقية,خدمات تقنية,10.5,0.62,مخاطرة عالية
دير الزور,صناعة هندسية,394.8,0.15,استثمار متوسط
القنيطرة,تصنيع غذائي,143.5,0.39,فرصة واعدة
اللاذقية,تجارة إلكترونية,37.8,0.22,فرصة واعدة
ريف دمشق,تصنيع غذائي,44.7,0.19,مخاطرة عالية
اللاذقية,طاقة متجددة,239.5,0.15,فرصة واعدة
الحسكة,خدمات تقنية,18.3,0.68,فرصة واعدة
الرقة,تصنيع غذائي,138.5,0.49,استثمار متوسط
السويداء,طاقة متجددة,96.6,0.44,مخاطرة عالية
دير الزور,زراعة حديثة,91.0,0.23,فرصة واعدة
دير الزور,صناعة هندسية,970.5,0.53,فرصة واعدة
دير الزور,خدمات تقنية,12.1,0.13,فرصة واعدة
حمص,تصنيع غذائي,214.0,0.19,فرصة واعدة
حمص,خدمات تقنية,9.3,0.67,مخاطرة عالية
اللاذقية,خدمات تقنية,24.1,0.15,فرصة واعدة
السويداء,خدمات تقنية,11.4,0.27,استثمار متوسط
السويداء,تجارة إلكترونية,8.6,0.54,مخاطرة عالية
طرطوس,خدمات تقنية,18.6,0.25,فرصة واعدة
الحسكة,طاقة متجددة,90.4,0.22,استثمار متوسط
القنيطرة,خدمات تقنية,25.4,0.56,فرصة واعدة
طرطوس,تصنيع غذائي,77.3,0.34,استثمار متوسط
حمص,زراعة حديثة,48.0,0.34,استثمار متوسط
دير الزور,تجارة إلكترونية,37.9,0.14,فرصة واعدة
حلب,طاقة متجددة,174.5,0.1,استثمار متوسط
إدلب,خدمات تقنية,12.5,0.23,فرصة واعدة
القنيطرة,زراعة حديثة,109.8,0.47,فرصة واعدة
حلب,طاقة متجددة,173.2,0.12,مخاطرة عالية
دير الزور,تصنيع غذائي,110.2,0.28,فرصة واعدة
طرطوس,طاقة متجددة,185.8,0.13,استثمار متوسط
القنيطرة,صناعة هندسية,1021.7,0.27,فرصة واعدة
حلب,خدمات تقنية,4.6,0.27,مخاطرة عالية
القنيطرة,صناعة هندسية,998.1,0.14,فرصة واعدة
السويداء,خدمات تقنية,23.9,0.2,فرصة واعدة
درعا,خدمات تقنية,26.7,0.5,فرصة واعدة
دير الزور,صناعة هندسية,442.6,0.18,فرصة واعدة
الحسكة,صناعة هندسية,1148.6,0.29,فرصة واعدة
ريف دمشق,تصنيع غذائي,193.2,0.44,فرصة واعدة
حلب,زراعة حديثة,145.7,0.55,فرصة واعدة
دير الزور,خدمات تقنية,6.5,0.3,مخاطرة عالية
طرطوس,زراعة حديثة,125.0,0.34,فرصة واعدة
حمص,صناعة هندسية,767.7,0.44,فرصة واعدة
درعا,تجارة إلكترونية,27.9,0.24,فرصة واعدة
دير الزور,تجارة إلكترونية,22.7,0.44,فرصة واعدة
السويداء,خدمات تقنية,12.6,0.56,استثمار متوسط
حلب,طاقة متجددة,318.8,0.49,استثمار متوسط
حماة,صناعة هندسية,653.7,0.6,فرصة واعدة
ريف دمشق,خدمات تقنية,15.9,0.3,فرصة واعدة
دمشق,طاقة متجددة,395.5,0.69,فرصة واعدة
الحسكة,خدمات تقنية,24.8,0.68,فرصة واعدة
إدلب,طاقة متجددة,192.7,0.56,مخاطرة عالية
ريف دمشق,زراعة حديثة,63.8,0.44,استثمار متوسط
السويداء,صناعة هندسية,780.9,0.32,فرصة واعدة
ريف دمشق,طاقة متجددة,348.5,0.23,فرصة واعدة
السويداء,خدمات تقنية,10.3,0.26,استثمار متوسط
إدلب,خدمات تقنية,13.3,0.21,فرصة واعدة
إدلب,تصنيع غذائي,218.0,0.49,فرصة واعدة
دمشق,طاقة متجددة,327.6,0.54,فرصة واعدة
إدلب,تصنيع غذائي,97.4,0.67,مخاطرة عالية
القنيطرة,صناعة هندسية,179.4,0.59,مخاطرة عالية
اللاذقية,تجارة إلكترونية,33.2,0.12,فرصة واعدة
دمشق,صناعة هندسية,1022.5,0.41,فرصة واعدة
حمص,تصنيع غذائي,133.9,0.4,فرصة واعدة
السويداء,خدمات تقنية,27.0,0.55,فرصة واعدة
طرطوس,زراعة حديثة,89.4,0.49,فرصة واعدة
اللاذقية,صناعة هندسية,310.2,0.66,مخاطرة عالية
طرطوس,صناعة هندسية,819.2,0.43,فرصة واعدة
الرقة,تجارة إلكترونية,41.0,0.13,فرصة واعدة
اللاذقية,تجارة إلكترونية,29.6,0.25,فرصة واعدة
درعا,زراعة حديثة,128.4,0.22,فرصة واعدة
السويداء,طاقة متجددة,183.0,0.29,استثمار متوسط
السويداء,خدمات تقنية,21.6,0.12,فرصة واعدة
الحسكة,خدمات تقنية,20.8,0.37,فرصة واعدة
إدلب,صناعة هندسية,658.1,0.32,فرصة واعدة
ريف دمشق,زراعة حديثة,141.4,0.2,فرصة واعدة
السويداء,زراعة حديثة,93.9,0.34,فرصة واعدة
القنيطرة,زراعة حديثة,89.0,0.5,فرصة واعدة
ريف دمشق,زراعة حديثة,134.5,0.67,فرصة واعدة
طرطوس,تجارة إلكترونية,20.7,0.2,فرصة واعدة
درعا,تصنيع غذائي,147.4,0.19,فرصة واعدة
الرقة,زراعة حديثة,97.5,0.49,فرصة واعدة
الرقة,طاقة متجددة,585.4,0.13,فرصة واعدة
دير الزور,صناعة هندسية,348.4,0.44,مخاطرة عالية
حماة,تصنيع غذائي,173.5,0.32,فرصة واعدة
الرقة,تصنيع غذائي,298.0,0.48,فرصة واعدة
الحسكة,زراعة حديثة,59.9,0.37,فرصة واعدة
ريف دمشق,صناعة هندسية,864.5,0.5,فرصة واعدة
ريف دمشق,خدمات تقنية,9.3,0.67,مخاطرة عالية
ريف دمشق,تصنيع غذائي,124.7,0.67,استثمار متوسط
درعا,تجارة إلكترونية,8.3,0.68,مخاطرة عالية
ريف دمشق,تجارة إلكترونية,42.6,0.59,فرصة واعدة
القنيطرة,تصنيع غذائي,249.6,0.4,فرصة واعدة
الحسكة,زراعة حديثة,80.6,0.28,فرصة واعدة
السويداء,تجارة إلكترونية,43.1,0.61,فرصة واعدة
دير الزور,تصنيع غذائي,48.7,0.36,مخاطرة عالية
السويداء,تصنيع غذائي,105.8,0.3,استثمار متوسط
طرطوس,تجارة إلكترونية,21.5,0.39,فرصة واعدة
إدلب,تجارة إلكترونية,24.2,0.62,فرصة واعدة
السويداء,خدمات تقنية,27.8,0.62,فرصة واعدة
حمص,طاقة متجددة,435.6,0.67,فرصة واعدة
إدلب,تصنيع غذائي,276.8,0.62,فرصة واعدة
حلب,صناعة هندسية,1144.9,0.56,فرصة واعدة
الحسكة,تجارة إلكترونية,30.0,0.25,فرصة واعدة
الحسكة,تجارة إلكترونية,30.9,0.24,فرصة واعدة
القنيطرة,تجارة إلكترونية,42.6,0.48,فرصة واعدة
درعا,صناعة هندسية,878.9,0.63,فرصة واعدة
دير الزور,صناعة هندسية,529.3,0.52,استثمار متوسط
السويداء,خدمات تقنية,27.1,0.23,فرصة واعدة
السويداء,تصنيع غذائي,202.5,0.61,فرصة واعدة
اللاذقية,تصنيع غذائي,143.3,0.63,فرصة واعدة
دير الزور,طاقة متجددة,341.3,0.32,فرصة واعدة
السويداء,تجارة إلكترونية,34.0,0.54,فرصة واعدة
الرقة,خدمات تقنية,5.5,0.11,مخاطرة عالية
إدلب,تصنيع غذائي,241.3,0.32,فرصة واعدة
اللاذقية,زراعة حديثة,113.4,0.62,فرصة واعدة
السويداء,طاقة متجددة,308.7,0.55,فرصة واعدة
حماة,زراعة حديثة,149.5,0.4,فرصة واعدة
حمص,تصنيع غذائي,101.5,0.27,استثمار متوسط
اللاذقية,زراعة حديثة,44.5,0.6,استثمار متوسط
طرطوس,زراعة حديثة,22.7,0.62,مخاطرة عالية
طرطوس,خدمات تقنية,25.7,0.19,فرصة واعدة
حمص,تجارة إلكترونية,43.4,0.47,فرصة واعدة
اللاذقية,خدمات تقنية,12.0,0.45,استثمار متوسط
السويداء,زراعة حديثة,25.6,0.37,مخاطرة عالية
درعا,تجارة إلكترونية,29.7,0.32,فرصة واعدة
ريف دمشق,تجارة إلكترونية,19.0,0.4,فرصة واعدة
طرطوس,تجارة إلكترونية,24.0,0.51,فرصة واعدة
حمص,صناعة هندسية,975.6,0.12,فرصة واعدة
اللاذقية,طاقة متجددة,397.7,0.3,فرصة واعدة
ريف دمشق,خدمات تقنية,24.3,0.69,فرصة واعدة
درعا,خدمات تقنية,6.8,0.61,مخاطرة عالية
الحسكة,تجارة إلكترونية,17.2,0.65,استثمار متوسط
الحسكة,زراعة حديثة,148.1,0.5,فرصة واعدة
درعا,طاقة متجددة,200.6,0.57,استثمار متوسط
إدلب,تجارة إلكترونية,39.9,0.56,فرصة واعدة
حماة,طاقة متجددة,467.9,0.54,فرصة واعدة
إدلب,صناعة هندسية,738.4,0.68,فرصة واعدة
الحسكة,تصنيع غذائي,159.3,0.18,فرصة واعدة
اللاذقية,تجارة إلكترونية,33.8,0.64,فرصة واعدة
حلب,صناعة هندسية,167.1,0.4,مخاطرة عالية
ريف دمشق,زراعة حديثة,27.9,0.45,مخاطرة عالية
حلب,زراعة حديثة,29.4,0.24,مخاطرة عالية
طرطوس,تصنيع غذائي,277.2,0.33,فرصة واعدة
درعا,تصنيع غذائي,191.9,0.29,فرصة واعدة
القنيطرة,صناعة هندسية,436.1,0.49,استثمار متوسط
حماة,صناعة هندسية,345.3,0.63,مخاطرة عالية
الرقة,تصنيع غذائي,274.7,0.66,فرصة واعدة
الحسكة,صناعة هندسية,364.0,0.45,استثمار متوسط
الحسكة,خدمات تقنية,13.8,0.56,استثمار متوسط
اللاذقية,تصنيع غذائي,77.0,0.41,مخاطرة عالية
القنيطرة,صناعة هندسية,180.3,0.37,مخاطرة عالية
اللاذقية,خدمات تقنية,21.3,0.57,فرصة واعدة
درعا,تجارة إلكترونية,21.3,0.54,فرصة واعدة
حلب,تجارة إلكترونية,27.9,0.17,فرصة واعدة
حمص,صناعة هندسية,925.8,0.39,فرصة واعدة
اللاذقية,زراعة حديثة,110.1,0.55,فرصة واعدة
الرقة,صناعة هندسية,892.2,0.32,فرصة واعدة
حماة,تجارة إلكترونية,22.6,0.6,فرصة واعدة
دير الزور,خدمات تقنية,25.2,0.39,فرصة واعدة
ريف دمشق,طاقة متجددة,487.1,0.13,فرصة واعدة
إدلب,طاقة متجددة,332.3,0.19,فرصة واعدة
دير الزور,تصنيع غذائي,91.3,0.12,استثمار متوسط
ريف دمشق,خدمات تقنية,19.7,0.1,فرصة واعدة
حلب,تجارة إلكترونية,34.0,0.12,فرصة واعدة
السويداء,طاقة متجددة,430.3,0.11,فرصة واعدة
إدلب,خدمات تقنية,30.0,0.66,فرصة واعدة
الرقة,تصنيع غذائي,284.3,0.24,فرصة واعدة
حماة,تجارة إلكترونية,32.0,0.67,فرصة واعدة
الحسكة,صناعة هندسية,398.3,0.15,استثمار متوسط
السويداء,تصنيع غذائي,150.2,0.58,فرصة واعدة
طرطوس,صناعة هندسية,1135.9,0.54,فرصة واعدة
الحسكة,تصنيع غذائي,263.2,0.22,فرصة واعدة
دمشق,خدمات تقنية,26.3,0.6,فرصة واعدة
الرقة,تصنيع غذائي,246.7,0.19,فرصة واعدة
السويداء,تجارة إلكترونية,12.9,0.55,مخاطرة عالية
ريف دمشق,صناعة هندسية,996.9,0.48,فرصة واعدة
دير الزور,صناعة هندسية,508.6,0.33,فرصة واعدة
الحسكة,خدمات تقنية,20.7,0.56,فرصة واعدة
حماة,تصنيع غذائي,247.9,0.51,فرصة واعدة
الرقة,زراعة حديثة,48.8,0.38,استثمار متوسط
اللاذقية,خدمات تقنية,24.4,0.57,فرصة واعدة
إدلب,خدمات تقنية,24.6,0.12,فرصة واعدة
السويداء,طاقة متجددة,494.1,0.55,فرصة واعدة
الحسكة,زراعة حديثة,134.5,0.28,فرصة واعدة
القنيطرة,خدمات تقنية,29.3,0.52,فرصة واعدة
حلب,طاقة متجددة,113.1,0.17,مخاطرة عالية
الرقة,تجارة إلكترونية,35.9,0.45,فرصة واعدة
حماة,طاقة متجددة,109.1,0.6,مخاطرة عالية
إدلب,صناعة هندسية,959.7,0.41,فرصة واعدة
طرطوس,طاقة متجددة,481.6,0.52,فرصة واعدة
حماة,زراعة حديثة,101.0,0.4,فرصة واعدة
القنيطرة,زراعة حديثة,74.7,0.26,فرصة واعدة
حمص,تجارة إلكترونية,39.9,0.62,فرصة واعدة
درعا,تصنيع غذائي,215.6,0.47,فرصة واعدة
حمص,تصنيع غذائي,160.4,0.15,فرصة واعدة
إدلب,طاقة متجددة,435.3,0.26,فرصة واعدة
السويداء,خدمات تقنية,27.1,0.3,فرصة واعدة
حمص,طاقة متجددة,534.6,0.58,فرصة واعدة
الرقة,تصنيع غذائي,265.5,0.13,فرصة واعدة
اللاذقية,صناعة هندسية,1126.6,0.17,فرصة واعدة
السويداء,صناعة هندسية,294.9,0.4,مخاطرة عالية
درعا,طاقة متجددة,487.6,0.47,فرصة واعدة
ريف دمشق,صناعة هندسية,712.6,0.61,فرصة واعدة
ريف دمشق,طاقة متجددة,578.9,0.32,فرصة واعدة
الحسكة,صناعة هندسية,631.4,0.58,فرصة واعدة
دمشق,تصنيع غذائي,103.5,0.47,استثمار متوسط
طرطوس,تجارة إلكترونية,18.0,0.14,فرصة واعدة
حماة,تجارة إلكترونية,44.3,0.67,فرصة واعدة
طرطوس,تجارة إلكترونية,17.4,0.48,استثمار متوسط
حمص,صناعة هندسية,394.9,0.3,فرصة واعدة
القنيطرة,صناعة هندسية,350.2,0.56,مخاطرة عالية
إدلب,طاقة متجددة,391.2,0.29,فرصة واعدة
الرقة,خدمات تقنية,29.1,0.65,فرصة واعدة
حلب,زراعة حديثة,67.1,0.15,استثمار متوسط
اللاذقية,طاقة متجددة,565.3,0.2,فرصة واعدة
إدلب,طاقة متجددة,558.6,0.2,فرصة واعدة
السويداء,تجارة إلكترونية,14.9,0.44,استثمار متوسط
إدلب,تصنيع غذائي,52.1,0.17,استثمار متوسط
الحسكة,خدمات تقنية,26.4,0.53,فرصة واعدة
دمشق,طاقة متجددة,566.7,0.2,فرصة واعدة
حمص,طاقة متجددة,458.0,0.52,فرصة واعدة
حلب,تصنيع غذائي,252.4,0.62,فرصة واعدة
حماة,زراعة حديثة,24.5,0.57,مخاطرة عالية
ريف دمشق,زراعة حديثة,142.6,0.42,فرصة واعدة
حمص,طاقة متجددة,225.0,0.6,استثمار متوسط
دمشق,خدمات تقنية,13.8,0.46,استثمار متوسط
حلب,خدمات تقنية,27.3,0.54,فرصة واعدة
القنيطرة,تجارة إلكترونية,33.0,0.63,فرصة واعدة
دمشق,تجارة إلكترونية,21.9,0.21,استثمار متوسط
درعا,صناعة هندسية,585.0,0.22,فرصة واعدة
حماة,صناعة هندسية,1193.6,0.42,فرصة واعدة
السويداء,تصنيع غذائي,236.9,0.2,فرصة واعدة
اللاذقية,طاقة متجددة,363.5,0.19,فرصة واعدة
القنيطرة,خدمات تقنية,16.1,0.63,فرصة واعدة
طرطوس,زراعة حديثة,60.4,0.57,استثمار متوسط
طرطوس,زراعة حديثة,119.3,0.5,فرصة واعدة
دير الزور,تصنيع غذائي,61.4,0.65,مخاطرة عالية
الحسكة,تصنيع غذائي,50.0,0.46,مخاطرة عالية
دير الزور,خدمات تقنية,5.9,0.41,مخاطرة عالية
طرطوس,خدمات تقنية,16.3,0.64,فرصة واعدة
ريف دمشق,خدمات تقنية,26.8,0.38,فرصة واعدة
طرطوس,تجارة إلكترونية,34.6,0.66,فرصة واعدة
الرقة,طاقة متجددة,126.0,0.3,مخاطرة عالية
درعا,زراعة حديثة,131.8,0.41,فرصة واعدة
درعا,تجارة إلكترونية,19.2,0.13,فرصة واعدة
طرطوس,خدمات تقنية,30.0,0.28,فرصة واعدة
حمص,صناعة هندسية,1062.1,0.47,فرصة واعدة
حمص,تجارة إلكترونية,19.3,0.17,فرصة واعدة
السويداء,تصنيع غذائي,107.9,0.68,مخاطرة عالية
إدلب,صناعة هندسية,529.6,0.63,استثمار متوسط
حمص,تصنيع غذائي,143.4,0.1,فرصة واعدة
القنيطرة,زراعة حديثة,90.5,0.37,فرصة واعدة
القنيطرة,تجارة إلكترونية,43.5,0.44,فرصة واعدة
حمص,طاقة متجددة,538.3,0.16,فرصة واعدة
اللاذقية,طاقة متجددة,129.9,0.5,مخاطرة عالية
دير الزور,صناعة هندسية,770.7,0.61,فرصة واعدة
الحسكة,طاقة متجددة,107.3,0.35,مخاطرة عالية
طرطوس,طاقة متجددة,533.5,0.64,فرصة واعدة
الرقة,طاقة متجددة,554.4,0.44,فرصة واعدة
دمشق,تصنيع غذائي,162.9,0.38,استثمار متوسط
درعا,طاقة متجددة,529.9,0.47,فرصة واعدة
إدلب,تصنيع غذائي,45.5,0.21,مخاطرة عالية
دير الزور,صناعة هندسية,914.9,0.62,فرصة واعدة
ريف دمشق,زراعة حديثة,132.1,0.11,فرصة واعدة
ريف دمشق,طاقة متجددة,151.1,0.68,مخاطرة عالية
حمص,تجارة إلكترونية,29.9,0.16,فرصة واعدة
القنيطرة,زراعة حديثة,95.2,0.49,فرصة واعدة
حلب,خدمات تقنية,6.3,0.57,مخاطرة عالية
الرقة,طاقة متجددة,480.0,0.27,فرصة واعدة
السويداء,صناعة هندسية,1082.8,0.31,فرصة واعدة
القنيطرة,زراعة حديثة,148.4,0.68,فرصة واعدة
السويداء,طاقة متجددة,240.2,0.44,فرصة واعدة
طرطوس,خدمات تقنية,21.1,0.14,فرصة واعدة
درعا,زراعة حديثة,93.5,0.26,فرصة واعدة
القنيطرة,صناعة هندسية,215.5,0.53,مخاطرة عالية
طرطوس,تصنيع غذائي,113.7,0.11,فرصة واعدة
الحسكة,زراعة حديثة,83.0,0.67,فرصة واعدة
إدلب,زراعة حديثة,57.6,0.41,استثمار متوسط
الرقة,طاقة متجددة,596.0,0.49,فرصة واعدة
السويداء,زراعة حديثة,120.1,0.61,فرصة واعدة
إدلب,خدمات تقنية,29.4,0.43,فرصة واعدة
إدلب,خدمات تقنية,14.0,0.28,فرصة واعدة
السويداء,طاقة متجددة,124.5,0.63,مخاطرة عالية
إدلب,زراعة حديثة,74.0,0.61,استثمار متوسط
درعا,تصنيع غذائي,79.4,0.48,استثمار متوسط
الرقة,صناعة هندسية,541.4,0.54,استثمار متوسط
دير الزور,خدمات تقنية,6.9,0.63,مخاطرة عالية
حماة,خدمات تقنية,14.2,0.15,فرصة واعدة
درعا,تصنيع غذائي,132.5,0.35,فرصة واعدة
حمص,خدمات تقنية,19.2,0.22,فرصة واعدة
درعا,تجارة إلكترونية,44.2,0.14,فرصة واعدة
ريف دمشق,زراعة حديثة,114.1,0.3,فرصة واعدة
حماة,زراعة حديثة,141.1,0.54,فرصة واعدة
إدلب,صناعة هندسية,394.6,0.29,استثمار متوسط
حمص,خدمات تقنية,28.8,0.68,فرصة واعدة
الحسكة,تصنيع غذائي,41.3,0.38,مخاطرة عالية
إدلب,تصنيع غذائي,50.6,0.12,مخاطرة عالية
الحسكة,تجارة إلكترونية,44.2,0.16,فرصة واعدة
ريف دمشق,صناعة هندسية,1134.0,0.41,فرصة واعدة
حمص,تجارة إلكترونية,16.2,0.66,مخاطرة عالية
دمشق,تجارة إلكترونية,6.6,0.1,مخاطرة عالية
دمشق,زراعة حديثة,114.9,0.37,فرصة واعدة
حلب,صناعة هندسية,854.6,0.57,فرصة واعدة
حمص,تجارة إلكترونية,31.5,0.53,فرصة واعدة
دير الزور,زراعة حديثة,93.2,0.53,فرصة واعدة
اللاذقية,تصنيع غذائي,59.0,0.7,مخاطرة عالية
حمص,صناعة هندسية,1112.6,0.54,فرصة واعدة
طرطوس,تجارة إلكترونية,20.3,0.62,فرصة واعدة
الرقة,زراعة حديثة,101.4,0.38,فرصة واعدة
حماة,تجارة إلكترونية,15.8,0.57,استثمار متوسط
طرطوس,زراعة حديثة,94.4,0.35,فرصة واعدة
دير الزور,طاقة متجددة,534.3,0.23,فرصة واعدة
حلب,تصنيع غذائي,269.7,0.35,فرصة واعدة
حلب,زراعة حديثة,48.2,0.62,مخاطرة عالية
إدلب,طاقة متجددة,335.1,0.61,فرصة واعدة
درعا,صناعة هندسية,685.3,0.61,فرصة واعدة
القنيطرة,زراعة حديثة,131.4,0.66,فرصة واعدة
اللاذقية,تصنيع غذائي,145.3,0.45,فرصة واعدة
حماة,تصنيع غذائي,41.7,0.32,مخاطرة عالية
القنيطرة,تصنيع غذائي,288.2,0.58,فرصة واعدة
حمص,زراعة حديثة,88.5,0.3,فرصة واعدة
اللاذقية,تصنيع غذائي,203.5,0.68,فرصة واعدة
إدلب,صناعة هندسية,994.8,0.29,فرصة واعدة
ريف دمشق,زراعة حديثة,61.1,0.51,استثمار متوسط
الرقة,تجارة إلكترونية,36.6,0.68,فرصة واعدة
السويداء,زراعة حديثة,105.2,0.62,فرصة واعدة
طرطوس,تجارة إلكترونية,12.1,0.29,استثمار متوسط
الحسكة,زراعة حديثة,120.8,0.16,فرصة واعدة
درعا,طاقة متجددة,232.0,0.3,فرصة واعدة
السويداء,صناعة هندسية,1029.9,0.68,فرصة واعدة
طرطوس,خدمات تقنية,28.9,0.46,فرصة واعدة
ريف دمشق,تجارة إلكترونية,31.8,0.15,فرصة واعدة
